iter	Passed	Remaining
0	70	70169
1	92	45927
2	114	38143
3	135	33787
4	155	30900
5	174	28867
6	195	27678
7	215	26688
8	234	25862
9	255	25260
10	277	24965
11	302	24885
12	323	24583
13	341	24056
14	361	23710
15	384	23633
16	407	23546
17	426	23246
18	443	22896
19	462	22672
20	490	22858
21	513	22814
22	531	22566
23	550	22375
24	577	22518
25	602	22564
26	623	22452
27	642	22310
28	665	22296
29	691	22364
30	715	22373
31	737	22315
32	758	22221
33	788	22411
34	808	22290
35	827	22163
36	848	22094
37	871	22050
38	896	22080
39	915	21969
40	934	21864
41	954	21779
42	979	21798
43	1000	21736
44	1019	21640
45	1039	21565
46	1060	21510
47	1086	21555
48	1109	21535
49	1132	21524
50	1151	21431
51	1173	21396
52	1195	21358
53	1214	21283
54	1234	21211
55	1252	21120
56	1280	21182
57	1300	21115
58	1319	21040
59	1338	20971
60	1360	20950
61	1389	21024
62	1412	21015
63	1434	20980
64	1455	20940
65	1476	20897
66	1501	20902
67	1520	20841
68	1540	20778
69	1572	20888
70	1592	20834
71	1613	20794
72	1635	20769
73	1657	20744
74	1681	20736
75	1704	20718
76	1723	20662
77	1742	20601
78	1766	20590
79	1788	20568
80	1808	20514
81	1827	20459
82	1846	20398
83	1872	20418
84	1896	20416
85	1917	20376
86	1936	20317
87	1955	20266
88	1988	20357
89	2009	20313
90	2035	20329
91	2056	20298
92	2083	20323
93	2106	20302
94	2134	20330
95	2157	20316
96	2185	20349
97	2203	20280
98	2226	20264
99	2254	20291
100	2283	20328
101	2302	20268
102	2321	20216
103	2340	20168
104	2367	20177
105	2389	20150
106	2412	20132
107	2431	20084
108	2450	20027
109	2471	19996
110	2494	19979
111	2515	19945
112	2535	19906
113	2562	19917
114	2584	19892
115	2608	19875
116	2630	19850
117	2649	19806
118	2687	19895
119	2716	19919
120	2744	19938
121	2776	19981
122	2801	19972
123	2830	19997
124	2856	19992
125	2885	20012
126	2914	20033
127	2941	20037
128	2976	20095
129	2999	20075
130	3026	20077
131	3052	20072
132	3078	20069
133	3104	20065
134	3128	20045
135	3156	20050
136	3177	20015
137	3197	19972
138	3218	19938
139	3237	19887
140	3262	19873
141	3281	19827
142	3299	19775
143	3319	19730
144	3338	19685
145	3363	19674
146	3385	19645
147	3407	19614
148	3426	19567
149	3445	19525
150	3471	19515
151	3491	19478
152	3512	19446
153	3533	19411
154	3563	19424
155	3594	19445
156	3620	19437
157	3642	19410
158	3665	19386
159	3690	19374
160	3710	19334
161	3735	19323
162	3756	19289
163	3777	19257
164	3797	19219
165	3817	19181
166	3837	19143
167	3861	19124
168	3881	19088
169	3904	19061
170	3934	19074
171	3962	19073
172	3983	19040
173	4007	19025
174	4027	18986
175	4045	18941
176	4074	18943
177	4113	18995
178	4136	18970
179	4161	18959
180	4188	18952
181	4215	18944
182	4236	18915
183	4261	18898
184	4290	18903
185	4312	18872
186	4332	18836
187	4357	18819
188	4380	18795
189	4404	18774
190	4426	18746
191	4447	18715
192	4466	18677
193	4491	18660
194	4510	18619
195	4535	18605
196	4554	18565
197	4575	18531
198	4597	18504
199	4616	18466
200	4637	18433
201	4661	18413
202	4685	18396
203	4703	18354
204	4723	18318
205	4744	18286
206	4765	18256
207	4789	18237
208	4810	18207
209	4830	18171
210	4850	18137
211	4880	18140
212	4905	18125
213	4926	18092
214	4947	18063
215	4970	18040
216	4994	18022
217	5016	17996
218	5039	17970
219	5063	17951
220	5088	17937
221	5107	17898
222	5125	17860
223	5154	17855
224	5178	17835
225	5202	17817
226	5221	17779
227	5239	17742
228	5265	17728
229	5287	17702
230	5307	17667
231	5325	17629
232	5346	17599
233	5372	17585
234	5392	17554
235	5411	17518
236	5430	17483
237	5461	17486
238	5480	17451
239	5505	17432
240	5524	17398
241	5551	17387
242	5573	17364
243	5596	17339
244	5618	17315
245	5645	17304
246	5670	17287
247	5691	17256
248	5718	17248
249	5742	17226
250	5766	17208
251	5787	17178
252	5809	17153
253	5832	17128
254	5854	17105
255	5875	17075
256	5897	17049
257	5916	17016
258	5944	17008
259	5966	16981
260	5986	16949
261	6004	16913
262	6025	16885
263	6048	16861
264	6068	16832
265	6089	16803
266	6111	16778
267	6142	16778
268	6162	16747
269	6184	16720
270	6204	16690
271	6234	16687
272	6256	16661
273	6281	16643
274	6301	16613
275	6332	16611
276	6354	16586
277	6379	16568
278	6399	16538
279	6428	16530
280	6449	16502
281	6468	16469
282	6493	16452
283	6516	16429
284	6540	16408
285	6559	16376
286	6581	16349
287	6599	16316
288	6622	16293
289	6644	16268
290	6665	16239
291	6684	16208
292	6705	16178
293	6727	16155
294	6749	16129
295	6772	16107
296	6793	16079
297	6812	16048
298	6839	16034
299	6858	16003
300	6880	15978
301	6907	15964
302	6938	15960
303	6963	15942
304	6991	15930
305	7016	15913
306	7044	15902
307	7073	15892
308	7095	15867
309	7127	15864
310	7158	15859
311	7181	15835
312	7205	15814
313	7230	15797
314	7256	15780
315	7276	15751
316	7296	15719
317	7319	15698
318	7340	15670
319	7361	15643
320	7382	15615
321	7405	15592
322	7431	15576
323	7450	15545
324	7470	15515
325	7492	15491
326	7517	15472
327	7546	15462
328	7568	15436
329	7589	15408
330	7609	15379
331	7634	15361
332	7655	15333
333	7677	15309
334	7697	15280
335	7724	15264
336	7748	15243
337	7777	15233
338	7800	15210
339	7833	15205
340	7858	15187
341	7885	15170
342	7912	15155
343	7941	15145
344	7967	15126
345	7990	15103
346	8012	15079
347	8041	15065
348	8060	15035
349	8080	15006
350	8109	14993
351	8132	14970
352	8152	14942
353	8172	14913
354	8192	14884
355	8216	14864
356	8236	14834
357	8255	14803
358	8274	14774
359	8293	14744
360	8322	14731
361	8343	14704
362	8363	14676
363	8386	14653
364	8406	14625
